Name                              Brand            CellType            Efficiency  Length   NominalLength  Width     NominalWidth  Thickness  m    n    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance   Bifacial
SPR-MAX2-340-COM,                 SunPower,        Monocrystalline,    0.192,      1.690,   1.69,          1.046,    1.05,         0.04,      13,  8,   340,    57.9,  6.05,  70.0,  6.46,  -0.0034,  45,    19.0,   Black,  High,             0
SPR-MAX2-350-COM,                 SunPower,        Monocrystalline,    0.198,      1.690,   1.69,          1.046,    1.05,         0.04,      13,  8,   350,    59.1,  6.09,  70.3,  6.48,  -0.0034,  45,    19.0,   Black,  High,             0
SPR-MAX2-360-COM,                 SunPower,        Monocrystalline,    0.204,      1.690,   1.69,          1.046,    1.05,         0.04,      13,  8,   360,    59.1,  6.09,  70.6,  6.50,  -0.0034,  45,    19.0,   Black,  High,             0
SPR-MAX3-415,                     SunPower,        Monocrystalline,    0.219,      1.812,   1.81,          1.046,    1.05,         0.04,      14,  8,   415,    69.2,  6.00,  81.2,  6.55,  -0.0027,  45,    21.2,   Black,  High,             0
SPR-MAX3-425,                     SunPower,        Monocrystalline,    0.224,      1.812,   1.81,          1.046,    1.05,         0.04,      14,  8,   425,    70.0,  6.07,  81.3,  6.57,  -0.0027,  45,    21.2,   Black,  High,             0
SPR-MAX3-430,                     SunPower,        Monocrystalline,    0.227,      1.812,   1.81,          1.046,    1.05,         0.04,      14,  8,   430,    70.4,  6.11,  81.4,  6.57,  -0.0027,  45,    21.2,   Black,  High,             0
SPR-P5-520-UPP,                   SunPower,        Monocrystalline,    0.202,      2.362,   2.36,          1.092,    1.09,         0.035,     13,  6,   520,    44.6, 11.68,  54.4, 12.43,  -0.0034,  45,    31.5,   Black,  High,             0.65
SPR-P5-525-UPP,                   SunPower,        Monocrystalline,    0.204,      2.362,   2.36,          1.092,    1.09,         0.035,     13,  6,   525,    44.9, 11.71,  54.6, 12.52,  -0.0034,  45,    31.5,   Black,  High,             0.65
SPR-P5-530-UPP,                   SunPower,        Monocrystalline,    0.205,      2.362,   2.36,          1.092,    1.09,         0.035,     13,  6,   530,    45.2, 11.74,  54.8, 12.54,  -0.0034,  45,    31.5,   Black,  High,             0.65
SPR-P5-535-UPP,                   SunPower,        Monocrystalline,    0.207,      2.362,   2.36,          1.092,    1.09,         0.035,     13,  6,   535,    45.5, 11.77,  55.1, 12.57,  -0.0034,  45,    31.5,   Black,  High,             0.65
